variables,importancia
precipitaciones,0.00012124813038954428
temperatura,0.0023102621228772114
es_finde,0.029244357945345224
hora,0.758431141895549
dia_semana,0.0360718464636024
mes,0.0012607759029175907
anio,0.00020883246106532087
Año Nuevo [New Year's Day],2.8497125650019345e-05
Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],3.0965488347137335e-06
Día Nacional de la Soberanía [National Sovereignty Day],2.1520430911324205e-06
Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],2.781290490702268e-06
Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],8.095742728465336e-06
Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],9.719394311367559e-06
Día de Carnaval [Carnival's Day],5.568813739634197e-05
Día de Pascuas [Easter Day],1.178712020331831e-05
Día de la Independencia [Independence Day],6.335452216629553e-06
Día de la Revolucion de Mayo [May Revolution Day],3.4151113534825645e-06
Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],8.39176721621774e-06
Día del Trabajo [Labour Day],3.276243368873606e-05
Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],4.484977420502336e-06
La Inmaculada Concepción [Immaculate Conception],3.696974650256973e-06
Navidad [Christmas],0.00014001558180873978
Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],3.189523729779654e-05
Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],3.2561102679438015e-06
y_diff_mediana_lag_1,0.15919111790241275
y_diff_mediana_lag_8,0.003525955224689746
y_diff_mediana_lag_12,0.004052994532152829
y_diff_mediana_lag_24,0.003052883441619056
y_diff_mediana_lag_168,0.0021725129287530134
