ds,y,yhat
2020-11-11,2.6307928675389428e-05,5.464954447113166e-05
2020-11-12,6.522231264045376e-05,5.5270724668045736e-05
2020-11-13,0.00010875183389893167,4.1088905926970414e-05
2020-11-14,,5.788084013797438e-05
2020-11-15,1.8483048057068378e-05,3.137472257602176e-05
2020-11-16,7.268043043227526e-05,7.152537027091425e-05
2020-11-17,5.0146416886241515e-05,5.9630215902103456e-05
2020-11-18,3.6175285861943395e-05,4.931500808657566e-05
2020-11-19,3.4971851096411386e-05,4.390836997696807e-05
2020-11-20,3.9433891877012334e-05,3.556978228797022e-05
2020-11-21,4.294791429053392e-05,3.7472028319237204e-05
2020-11-22,2.8193187266971816e-05,3.3399665923382534e-05
2020-11-23,3.3893395596489413e-05,4.7335200519667954e-05
2020-11-24,4.7455304735626584e-05,4.06062108802218e-05
2020-11-25,3.1037694107012956e-05,4.819199891298924e-05
2020-11-26,3.717497137238654e-05,4.070503957464556e-05
2020-11-27,2.5910073025804273e-05,3.7074613159595496e-05
2020-11-28,,3.106529532899335e-05
2020-11-29,3.6034601396742506e-05,3.625871637798131e-05
2020-11-30,6.700311001363847e-05,4.634365751743882e-05
2020-12-01,4.277577399188044e-05,5.343200381321533e-05
