ds,y,yhat,yhat_lower,yhat_upper
2019-01-01,1.0334739640717669e-05,1.010919470090479e-05,4.750942923803803e-06,2.127575238993235e-05
2019-01-02,,9.974110099358763e-05,5.6320928218941274e-05,0.0001719024801763512
2019-01-03,7.964380733354886e-05,6.720883493090197e-05,3.8831848306925554e-05,0.00011892771734833268
2019-01-04,0.00011068330628836018,6.2687951858626e-05,3.606641745801191e-05,0.00011094476268856161
2019-01-05,4.7400223172410416e-05,4.793336365120046e-05,2.7386492376553526e-05,8.194755127610785e-05
2019-01-06,,5.3192030645376206e-05,2.9933803497834463e-05,9.35400899245074e-05
2019-01-07,,7.33219232934073e-05,4.200624626670627e-05,0.0001315309058765296
2019-01-08,3.568381173195612e-05,0.00010151863327852746,5.704966576651835e-05,0.0001756922651188
2019-01-09,,7.789468694323603e-05,4.450039764932837e-05,0.00013723384485808622
2019-01-10,,4.372861506430077e-05,2.5113958383311695e-05,7.394161781463833e-05
2019-01-11,8.132093307191743e-05,7.18883358506497e-05,4.1161543723309785e-05,0.00012588529551621301
2019-01-12,4.395305535914343e-05,4.803046913978035e-05,2.7202939784397988e-05,8.537655305198662e-05
2019-01-13,,4.416928961552855e-05,2.5466262019362946e-05,7.735117457202963e-05
2019-01-14,5.6295584453278474e-05,6.166102798035652e-05,3.5275196477926854e-05,0.00010743477814363364
2019-01-15,,6.343160252580926e-05,3.696647223129882e-05,0.00010976420633088082
2019-01-16,0.0001659669622785448,0.0002781550223327622,0.0001557952016701729,0.00048113040837048876
2019-01-17,,4.915880999190121e-05,2.8145177067204234e-05,8.54743251448286e-05
2019-01-18,1.1996398696296826e-05,5.105572106156331e-05,2.9018286575334744e-05,8.933376836028713e-05
2019-01-19,4.924458875451413e-05,6.242471680452254e-05,3.659052113812143e-05,0.00010735325023878586
2019-01-20,3.370632476222423e-05,3.579973494227467e-05,2.0218617016826048e-05,6.112657035995562e-05
2019-01-21,7.226521901204132e-05,6.406606830726648e-05,3.762503763569345e-05,0.00011013004727083235
2019-01-22,6.99786942534461e-05,5.719827842409561e-05,3.2914194705829446e-05,0.00010145746921992005
2019-01-23,5.926622091559256e-05,4.937975588331154e-05,2.788797267881952e-05,8.515385854921881e-05
2019-01-24,4.782991496124029e-05,5.155601171125788e-05,2.9546790109661147e-05,8.949338382814367e-05
2019-01-25,,5.490575333088595e-05,3.06673064311488e-05,9.468258914341464e-05
2019-01-26,,7.878551081792129e-05,4.588870558313303e-05,0.0001390949680747895
2019-01-27,6.69096399512789e-05,4.8702880092348996e-05,2.762493544670081e-05,8.505437859257225e-05
2019-01-28,3.69406932761079e-05,5.411174558414951e-05,3.138095203636927e-05,9.258271672146807e-05
2019-01-29,4.023937569925481e-05,5.448879909949338e-05,3.0248372664935497e-05,9.562448909075535e-05
2019-01-30,8.134558085476068e-05,5.963380551656368e-05,3.438412393001941e-05,0.00010471252132856695
2019-01-31,9.527775154303478e-05,8.105538876093419e-05,4.7567691903843126e-05,0.00014040563578827196
2019-02-01,,0.00011914340823166427,6.864662881564352e-05,0.0002087893788746712
2019-02-02,4.869233333507699e-05,3.89445771681934e-05,2.1607385808754347e-05,6.753240424890195e-05
2019-02-03,5.160275062258964e-05,4.287681554486647e-05,2.4991556255874724e-05,7.728077960915117e-05
2019-02-04,0.0001187140403508515,7.358156509060162e-05,4.215100922151814e-05,0.00012807249486648654
2019-02-05,6.751901643030316e-05,8.477314043930841e-05,4.9144009177806094e-05,0.00014968894013308315
2019-02-06,5.709433994113431e-05,5.928227101572829e-05,3.39282348421527e-05,0.00010575695528832859
2019-02-07,7.933779415043828e-05,7.148362353163238e-05,4.1616968786545346e-05,0.00012228155887282816
2019-02-08,0.00010329959619102294,8.545288881405294e-05,4.8300554524167045e-05,0.0001511342145998572
2019-02-09,8.088638310679384e-05,0.00012926713243605905,7.405470592047005e-05,0.00022243049768261566
2019-02-10,5.574805212600126e-05,6.293295555508037e-05,3.497415231779477e-05,0.00011119543556061466
2019-02-11,5.232628442859806e-05,4.3974955505331754e-05,2.452321301293808e-05,7.521375888060579e-05
2019-02-12,6.162167639911406e-05,5.228099926093264e-05,3.0503794095793065e-05,8.988762916086116e-05
2019-02-13,7.021319820737971e-05,7.213580544075154e-05,4.113071223666016e-05,0.00012395388709013984
2019-02-14,,0.00016051932238793438,9.362587571816974e-05,0.0002785587583597016
2019-02-15,0.00020404617432321438,0.0001935232449440609,0.00010908753688629434,0.0003374332295375732
2019-02-16,6.772507777073007e-05,0.00010999947178448426,6.233178157757123e-05,0.0001900591208716866
2019-02-17,4.812453080588042e-05,5.3645326327393586e-05,2.981877926361647e-05,9.083859641557403e-05
2019-02-18,7.862917398604975e-05,7.41650533034235e-05,4.258017319932943e-05,0.00012920692219496848
2019-02-19,9.472376219659442e-05,8.611395441632685e-05,5.0074424803581053e-05,0.00015370369761962983
2019-02-20,6.914288480350672e-05,8.848840478871188e-05,5.0599505121432896e-05,0.0001569765265300169
2019-02-21,0.0001487110502067387,9.778581336829229e-05,5.5565099251793254e-05,0.00017124402336748235
2019-02-22,0.00026319298902127496,0.00010399277734801647,5.9684006021741245e-05,0.00017888593563496582
2019-02-23,,0.00011315052685407278,6.462624247330396e-05,0.0001981198112202838
2019-02-24,2.7085761757916923e-05,5.3374874621239434e-05,2.9819419948073586e-05,9.39275447582253e-05
2019-02-25,,8.56483597909701e-05,4.90656764063252e-05,0.00014804311927115184
2019-02-26,6.942856239702683e-05,9.474413858432702e-05,5.452820686962248e-05,0.00016546465308452506
2019-02-27,8.796758315958367e-05,7.887876516056423e-05,4.5799177010973146e-05,0.00013681524679031663
2019-02-28,0.00027452193760214096,0.00015192168992040717,8.724064812789554e-05,0.00026772208606141377
2019-03-01,6.754574888934093e-05,7.86261149256066e-05,4.5925579400970946e-05,0.0001367507319277334
2019-03-02,7.467274433446778e-05,7.725313536908079e-05,4.446920527326476e-05,0.00013565914476980798
2019-03-03,2.9814784524687238e-05,4.622077242743466e-05,2.6948340403524416e-05,7.997587645593661e-05
2019-03-04,,9.526987336764592e-05,4.9533880789597285e-05,0.00018389778086085645
2019-03-05,6.37129768585813e-05,7.295960985800049e-05,3.900382157807916e-05,0.00013901678653170944
2019-03-06,0.00010368978868028279,0.00010550936122984918,6.0855036018502714e-05,0.00018000238826927165
2019-03-07,0.00011414054068524385,9.63934874634435e-05,5.618433094055969e-05,0.00016491285357422372
2019-03-08,4.819919908096162e-05,5.056919115976557e-05,2.908255888205934e-05,8.847204523103858e-05
2019-03-09,5.453161452707566e-05,6.171033823864505e-05,3.5107315729503334e-05,0.00010731260995191529
2019-03-10,5.183233628281886e-05,7.062399682923945e-05,3.99015006303232e-05,0.00012473547144347557
2019-03-11,3.507705574859775e-05,7.347236571784677e-05,4.11312754205769e-05,0.00012612723443396662
2019-03-12,,0.00011123390527489243,6.403470455045462e-05,0.00019647033176230463
2019-03-13,3.942649562376887e-05,8.127669930751977e-05,4.5459104814966466e-05,0.00014488505404863734
2019-03-14,8.410314302210566e-05,0.00011881444780254372,6.803410729194466e-05,0.00020551338900649747
2019-03-15,,6.747671332710698e-05,3.936665055949469e-05,0.00011706219267342368
2019-03-16,,5.051745650690214e-05,2.9607433118017027e-05,8.842112518069991e-05
2019-03-17,6.541525954023228e-05,4.277467425961934e-05,2.354206623684383e-05,7.51635699210826e-05
2019-03-18,7.769018903863671e-05,9.024689670632603e-05,5.1552571481244695e-05,0.00015921574473766632
2019-03-19,,5.49112790424169e-05,3.2208704175389196e-05,9.3744074841989e-05
2019-03-20,5.274150003196867e-05,5.470960889328157e-05,3.1322995908461035e-05,9.846082431173412e-05
2019-03-21,0.0004141539176857641,0.0001271532421866497,7.19810086312711e-05,0.0002187654794660539
2019-03-22,0.00019142398781721537,9.851600229963504e-05,5.715443251627044e-05,0.00017345809811448654
2019-03-23,5.757260753316381e-05,6.99185106153893e-05,3.8493960920228525e-05,0.00012358059933252033
2019-03-24,5.562434363021215e-05,5.353508466188674e-05,2.7057430142530202e-05,0.00010622380626216883
2019-03-25,0.00011491367129201601,5.841715304088239e-05,3.345623284032929e-05,0.00010232730181999873
