ds,y,yhat
2020-11-10,6.669204024162067e-05,6.397508856845614e-05
2020-11-11,8.224678836948188e-05,6.280733935546151e-05
2020-11-12,0.00011132215463966728,7.01579861089088e-05
2020-11-13,0.00015302019205507675,6.904676086452267e-05
2020-11-14,,0.00014463130264985872
2020-11-15,3.1173338244800266e-05,4.845768927142763e-05
2020-11-16,0.00014842372259913907,0.00011019437656469683
2020-11-17,0.00010658020684598396,8.001472752678771e-05
2020-11-18,9.068738952806424e-05,0.00011302321539648889
2020-11-19,7.43339251296151e-05,7.081572643939829e-05
2020-11-20,6.597795686463663e-05,4.9380720548191125e-05
2020-11-21,6.402556971926818e-05,6.529450395705171e-05
2020-11-22,4.8603901250166675e-05,5.298562380958177e-05
2020-11-23,5.973415336790251e-05,5.26329671717297e-05
2020-11-24,,5.149943072912038e-05
2020-11-25,8.124555967954075e-05,0.00012887220683583574
2020-11-26,6.850516359752304e-05,5.443127015115537e-05
2020-11-27,4.141299813197132e-05,6.346443757042427e-05
2020-11-28,,4.9933532908062796e-05
2020-11-29,6.205180289107304e-05,5.470548938805809e-05
2020-11-30,0.0001497205380579964,7.53979888777375e-05
