ds,y,yhat
2019-01-01,1.2881883619742194e-05,2.498868294114033e-05
2019-01-02,,5.432738810102714e-05
2019-01-03,4.212561210417436e-05,3.653319838899954e-05
2019-01-04,4.957500644580365e-05,3.261612467177682e-05
2019-01-05,3.6065519180667385e-05,3.020172544360664e-05
2019-01-06,1.7748353486509568e-05,3.599425141728004e-05
2019-01-07,,4.6897601872528936e-05
2019-01-08,2.6262038179866942e-05,6.602267500502196e-05
2019-01-09,3.8719589086704045e-05,4.615996942438368e-05
2019-01-10,,2.4094345502219262e-05
2019-01-11,5.0261787451117576e-05,3.923251968180595e-05
2019-01-12,3.0260527269646098e-05,3.232815838138524e-05
2019-01-13,,3.238344307507313e-05
2019-01-14,2.6882171090265424e-05,4.205005992173563e-05
2019-01-15,,4.1316506530350753e-05
2019-01-16,7.123391445118298e-05,0.00014790028449722798
2019-01-17,,3.124010486656209e-05
2019-01-18,1.8414504674304886e-05,2.7079670252406093e-05
2019-01-19,2.950870674397424e-05,4.070218454360613e-05
2019-01-20,2.032539158086805e-05,3.00283280436203e-05
2019-01-21,4.581050428963602e-05,4.9375712514666694e-05
2019-01-22,4.6738784144597025e-05,4.141343598068538e-05
2019-01-23,3.0070270115470158e-05,3.366014939198595e-05
2019-01-24,3.1802273680686944e-05,3.0136456834868234e-05
2019-01-25,,2.7738833054832332e-05
2019-01-26,3.2723219923656046e-05,4.571271408952186e-05
2019-01-27,3.4312443974391355e-05,3.651871396761434e-05
2019-01-28,3.6073119090009676e-05,3.8932098274567926e-05
2019-01-29,2.6377089078524025e-05,3.322609726222333e-05
2019-01-30,4.218503710585865e-05,3.401666990840079e-05
2019-01-31,4.4754441197741886e-05,4.2883775311829646e-05
2019-02-01,3.869462079799086e-05,5.538333993234719e-05
2019-02-02,2.724060091619537e-05,2.332526441138614e-05
2019-02-03,2.710250815109508e-05,2.8931413207467772e-05
2019-02-04,5.3719287157051615e-05,4.814890625505888e-05
2019-02-05,3.930343307119163e-05,5.501767834826566e-05
2019-02-06,4.221690305881319e-05,3.7161829474585574e-05
2019-02-07,4.3831687747672446e-05,3.8614579106692755e-05
2019-02-08,4.025341425168346e-05,4.142123002154628e-05
2019-02-09,4.685243954834776e-05,6.471012980270638e-05
2019-02-10,4.1072224251346234e-05,3.991144647123155e-05
2019-02-11,2.7022757513705978e-05,2.6090333625208158e-05
2019-02-12,2.984373492528748e-05,3.247188365742589e-05
2019-02-13,4.4664404970754784e-05,3.8240726243032956e-05
2019-02-14,,7.171386463815771e-05
2019-02-15,9.357030810425125e-05,8.424816890735288e-05
2019-02-16,3.5203325557282306e-05,5.7178775125159486e-05
2019-02-17,3.357652205553459e-05,3.464531451719948e-05
2019-02-18,3.474712128701972e-05,4.541703954666602e-05
2019-02-19,4.336114196016503e-05,4.760626042237465e-05
2019-02-20,4.652380605295935e-05,4.572731009443394e-05
2019-02-21,7.609266223669447e-05,4.2952192182737726e-05
2019-02-22,0.00012351269245772792,3.867614144262408e-05
2019-02-23,,4.5975402173189526e-05
2019-02-24,9.006703176584592e-06,3.0760500748575035e-05
2019-02-25,2.026859567550238e-06,4.8886234492956397e-05
2019-02-26,4.702429321986207e-05,5.209432876487287e-05
2019-02-27,4.277562260131986e-05,3.919020601973976e-05
2019-02-28,0.00011618468981512501,6.357527843989057e-05
2019-03-01,3.848518141707504e-05,3.459024416044721e-05
2019-03-02,4.014310057459953e-05,3.416056711806726e-05
2019-03-03,2.357568834875082e-05,2.7187553783877004e-05
2019-03-04,2.5785498555069462e-05,6.446576213712583e-05
2019-03-05,2.8262844100730087e-05,5.737432219415235e-05
2019-03-06,5.059072357508253e-05,5.5153215668642096e-05
2019-03-07,4.659743934230032e-05,4.151061902813711e-05
2019-03-08,3.1487234960927313e-05,2.1449816532692976e-05
2019-03-09,2.689016736612798e-05,3.205985415110141e-05
2019-03-10,3.500873706979919e-05,4.715154707704339e-05
2019-03-11,2.1179222729177595e-05,5.0524623017317945e-05
