ds,y,yhat
2019-01-01,1.0334739640717669e-05,1.930623e-05
2019-01-02,,7.8625104e-05
2019-01-03,7.964380733354886e-05,7.328e-05
2019-01-04,0.00011068330628836018,6.574446e-05
2019-01-05,4.7400223172410416e-05,5.0743838e-05
2019-01-06,,4.606733e-05
2019-01-07,,6.4723696e-05
2019-01-08,3.568381173195612e-05,6.164873e-05
2019-01-09,,8.006872e-05
2019-01-10,,4.4021934e-05
2019-01-11,8.132093307191743e-05,0.00010535051
2019-01-12,4.395305535914343e-05,5.288795e-05
2019-01-13,,3.834698e-05
2019-01-14,5.6295584453278474e-05,6.5603635e-05
2019-01-15,,6.0124214e-05
2019-01-16,0.0001659669622785448,0.00016137345
2019-01-17,,5.2190764e-05
2019-01-18,1.1996398696296826e-05,2.8741975e-05
2019-01-19,4.924458875451413e-05,6.5980275e-05
2019-01-20,3.370632476222423e-05,4.14955e-05
2019-01-21,7.226521901204132e-05,5.982427e-05
2019-01-22,6.99786942534461e-05,5.528886e-05
2019-01-23,5.926622091559256e-05,4.7463072e-05
2019-01-24,4.782991496124029e-05,4.5508346e-05
2019-01-25,,5.5096094e-05
2019-01-26,,8.356928e-05
2019-01-27,6.69096399512789e-05,5.8697235e-05
2019-01-28,3.69406932761079e-05,5.128952e-05
2019-01-29,4.023937569925481e-05,4.9966668e-05
2019-01-30,8.134558085476068e-05,8.379567e-05
2019-01-31,9.527775154303478e-05,9.600431e-05
2019-02-01,,9.6095326e-05
2019-02-02,4.869233333507699e-05,5.119781e-05
2019-02-03,5.160275062258964e-05,5.133262e-05
2019-02-04,0.0001187140403508515,8.44764e-05
2019-02-05,6.751901643030316e-05,9.044015e-05
2019-02-06,5.709433994113431e-05,5.6139314e-05
2019-02-07,7.933779415043828e-05,7.5458134e-05
2019-02-08,0.00010329959619102294,9.133497e-05
2019-02-09,8.088638310679384e-05,0.00010353124
2019-02-10,5.574805212600126e-05,6.327412e-05
2019-02-11,5.232628442859806e-05,4.314923e-05
2019-02-12,6.162167639911406e-05,6.4034306e-05
2019-02-13,7.021319820737971e-05,7.858868e-05
2019-02-14,,0.00014192848
2019-02-15,0.00020404617432321438,0.00017791797
2019-02-16,6.772507777073007e-05,9.101293e-05
2019-02-17,4.812453080588042e-05,4.6681223e-05
2019-02-18,7.862917398604975e-05,5.3782547e-05
2019-02-19,9.472376219659442e-05,8.0276994e-05
2019-02-20,6.914288480350672e-05,8.078593e-05
2019-02-21,0.0001487110502067387,0.00012407354
2019-02-22,0.00026319298902127496,0.00013419065
2019-02-23,,0.000108158514
2019-02-24,2.7085761757916923e-05,5.3170217e-05
2019-02-25,,5.872708e-05
2019-02-26,6.942856239702683e-05,8.892517e-05
2019-02-27,8.796758315958367e-05,5.9661725e-05
2019-02-28,0.00027452193760214096,0.0001923159
2019-03-01,6.754574888934093e-05,6.7779234e-05
2019-03-02,7.467274433446778e-05,7.4281816e-05
2019-03-03,2.9814784524687238e-05,4.983545e-05
2019-03-04,,0.00019908516
2019-03-05,6.37129768585813e-05,0.00011045132
2019-03-06,0.00010368978868028279,0.000100514175
2019-03-07,0.00011414054068524385,9.491117e-05
2019-03-08,4.819919908096162e-05,4.775596e-05
2019-03-09,5.453161452707566e-05,6.734698e-05
2019-03-10,5.183233628281886e-05,7.205397e-05
2019-03-11,3.507705574859775e-05,6.2513565e-05
2019-03-12,,9.918438e-05
2019-03-13,3.942649562376887e-05,6.600636e-05
2019-03-14,8.410314302210566e-05,0.00010085903
2019-03-15,,6.696158e-05
2019-03-16,,5.4921788e-05
2019-03-17,6.541525954023228e-05,5.494754e-05
2019-03-18,7.769018903863671e-05,9.5609634e-05
2019-03-19,,4.862292e-05
2019-03-20,5.274150003196867e-05,4.809393e-05
2019-03-21,0.0004141539176857641,0.00017197074
2019-03-22,0.00019142398781721537,0.0001093122
2019-03-23,5.757260753316381e-05,9.365067e-05
2019-03-24,5.562434363021215e-05,3.9957366e-05
2019-03-25,0.00011491367129201601,5.1964053e-05
2019-03-26,1.8681599613046304e-05,7.9923004e-05
2019-03-27,5.7703701276070505e-05,9.853918e-05
2019-03-28,7.626640251802351e-05,7.2500115e-05
