ds,y,yhat
2020-11-11,2.6307928675389428e-05,3.4688874e-05
2020-11-12,6.522231264045376e-05,3.8700502e-05
2020-11-13,0.00010875183389893167,3.6413076e-05
2020-11-14,,4.7072128e-05
2020-11-15,1.8483048057068378e-05,2.7694578e-05
2020-11-16,7.268043043227526e-05,5.540505e-05
2020-11-17,5.0146416886241515e-05,4.569425e-05
2020-11-18,3.6175285861943395e-05,5.2073825e-05
2020-11-19,3.4971851096411386e-05,4.131561e-05
2020-11-20,3.9433891877012334e-05,3.0904397e-05
2020-11-21,4.294791429053392e-05,3.6440753e-05
2020-11-22,2.8193187266971816e-05,2.689401e-05
2020-11-23,3.3893395596489413e-05,3.146516e-05
2020-11-24,4.7455304735626584e-05,2.9085399e-05
2020-11-25,3.1037694107012956e-05,5.3873384e-05
2020-11-26,3.717497137238654e-05,2.7898506e-05
2020-11-27,2.5910073025804273e-05,3.5381803e-05
2020-11-28,,2.8975719e-05
2020-11-29,3.6034601396742506e-05,3.0378369e-05
2020-11-30,6.700311001363847e-05,3.449949e-05
2020-12-01,4.277577399188044e-05,4.397474e-05
