date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,6.0,1.0,6.0,9.0,-2.0,0.0
2020-02-16,2.0,-2.0,-15.0,3.0,-9.0,2.0
2020-02-17,-9.0,-14.0,-27.0,2.0,4.0,2.0
2020-02-18,9.0,9.0,23.0,11.0,7.0,-1.0
2020-02-19,8.0,5.0,29.0,10.0,6.0,-2.0
2020-02-20,3.0,2.0,-2.0,7.0,5.0,0.0
2020-02-21,3.0,2.0,-2.0,10.0,5.0,0.0
2020-02-22,6.0,4.0,3.0,8.0,-3.0,0.0
2020-02-23,18.0,6.0,17.0,9.0,-6.0,1.0
2020-02-24,-22.0,-21.0,18.0,-41.0,-70.0,9.0
2020-02-25,-32.0,-17.0,5.0,-44.0,-69.0,11.0
2020-02-26,3.0,7.0,16.0,11.0,8.0,-2.0
2020-02-27,4.0,6.0,4.0,10.0,7.0,0.0
2020-02-28,7.0,7.0,7.0,13.0,9.0,0.0
2020-02-29,16.0,15.0,5.0,13.0,-1.0,2.0
2020-03-01,10.0,17.0,1.0,8.0,-9.0,3.0
2020-03-02,7.0,12.0,1.0,6.0,11.0,-1.0
2020-03-03,9.0,19.0,15.0,10.0,12.0,-1.0
2020-03-04,11.0,18.0,19.0,10.0,12.0,-1.0
2020-03-05,10.0,19.0,8.0,12.0,10.0,-1.0
2020-03-06,14.0,18.0,11.0,15.0,12.0,-1.0
2020-03-07,20.0,21.0,16.0,19.0,0.0,1.0
2020-03-08,15.0,22.0,-5.0,11.0,-11.0,3.0
2020-03-09,11.0,16.0,23.0,21.0,12.0,-1.0
2020-03-10,13.0,20.0,15.0,14.0,14.0,-2.0
2020-03-11,-19.0,-13.0,-28.0,-1.0,9.0,2.0
2020-03-12,4.0,33.0,-1.0,11.0,12.0,-1.0
2020-03-13,1.0,31.0,0.0,8.0,12.0,0.0
2020-03-14,-22.0,21.0,-50.0,-17.0,-11.0,11.0
2020-03-15,-19.0,69.0,-30.0,-14.0,-18.0,11.0
2020-03-16,-25.0,24.0,-29.0,-22.0,-8.0,9.0
2020-03-17,-43.0,1.0,-48.0,-37.0,-25.0,16.0
2020-03-18,-46.0,4.0,-42.0,-43.0,-34.0,17.0
2020-03-19,-47.0,26.0,-48.0,-45.0,-40.0,17.0
2020-03-20,-89.0,-42.0,-85.0,-82.0,-77.0,39.0
2020-03-21,-90.0,-43.0,-88.0,-81.0,-70.0,33.0
2020-03-22,-91.0,-52.0,-92.0,-83.0,-69.0,31.0
2020-03-23,-93.0,-58.0,-92.0,-90.0,-90.0,39.0
2020-03-24,-94.0,-59.0,-91.0,-90.0,-90.0,39.0
2020-03-25,-89.0,-45.0,-83.0,-82.0,-81.0,36.0
2020-03-26,-90.0,-47.0,-85.0,-83.0,-81.0,38.0
2020-03-27,-89.0,-44.0,-85.0,-82.0,-80.0,41.0
2020-03-28,-89.0,-41.0,-88.0,-80.0,-71.0,33.0
2020-03-29,-90.0,-48.0,-91.0,-82.0,-69.0,31.0
2020-03-30,-89.0,-46.0,-87.0,-84.0,-82.0,37.0
2020-03-31,-92.0,-54.0,-90.0,-88.0,-89.0,38.0
2020-04-01,-88.0,-43.0,-83.0,-81.0,-79.0,35.0
2020-04-02,-87.0,-42.0,-85.0,-81.0,-80.0,37.0
2020-04-03,-87.0,-39.0,-83.0,-79.0,-78.0,40.0
2020-04-04,-87.0,-35.0,-86.0,-77.0,-68.0,32.0
2020-04-05,-88.0,-44.0,-89.0,-80.0,-66.0,30.0
2020-04-06,-86.0,-39.0,-82.0,-79.0,-77.0,35.0
2020-04-07,-89.0,-30.0,-80.0,-77.0,-77.0,35.0
